unix_time,turn_id,eou_delay_s,llm_ttft_s,tts_ttfb_s,perceived_response_s
1788703381.229812,1,0.000,0.630,0.328,0.959
1788703390.3221061,2,2.507,0.616,0.318,3.441
1788703435.4060986,3,1.079,0.615,1.293,2.987
1788703442.114625,4,0.829,0.602,0.313,1.744
1788703448.0140405,5,0.835,0.576,0.337,1.748
1788703455.2298222,6,1.127,0.513,0.324,1.964
1788703561.3467538,1,0.000,0.783,0.315,1.097
1788703569.1522515,2,2.501,0.470,0.307,3.278
1788703579.483017,3,1.055,0.645,0.327,2.028
1788703591.6501985,4,0.000,1.004,0.404,1.408
1788703599.8533392,5,0.986,0.661,0.353,2.001
1788703613.154549,6,0.981,0.550,0.336,1.867
1788703861.3656168,1,0.000,0.613,0.351,0.964
1788703868.1262507,2,1.056,0.418,0.367,1.841
1788703875.4714644,3,2.505,0.621,0.360,3.486
1788703904.9475076,4,2.506,0.428,0.329,3.262
1788703907.385897,5,0.848,0.621,0.342,1.810
1788704395.8914158,1,0.000,0.616,0.332,0.949
1788704413.1174285,2,0.856,0.550,0.334,1.740
1788704423.6327393,3,0.892,0.753,0.338,1.983
1788704433.0058527,4,2.506,0.931,0.399,3.836
1788704446.0587673,5,2.512,0.571,0.343,3.426
1788704486.2226577,6,0.000,0.602,0.364,0.966
1788704492.7491267,7,0.830,0.542,0.351,1.722
1788704495.3137026,8,0.862,0.621,0.327,1.809
1788782512.1375024,1,0.000,0.900,0.349,1.249
1788782536.0966923,2,0.000,0.352,0.337,0.689
1788782572.256441,3,0.000,0.610,0.340,0.950
1788782598.7514708,4,1.080,0.627,1.295,3.003
1788807260.5430982,1,0.000,0.783,0.368,1.151
